,Date,Headline,Comment,Rating
0,2021-09-05T01:49:54Z,Great Service,Very easy process and great quality produce. Happy to recommend this service to anyone especially during this lockdown. Thanks HF.,5
1,2021-09-04T22:51:01Z,The food is absolutely amazing as is the service which is fantastic as well.,"The food from company name is excellent, extremely fresh and beautifully packaged. The website is very easy to use and the delivery service is fantastic. Considering the adversities at the present moment with COVID it is an amazing service to households. I would thoroughly recommend to everyone.",5
2,2021-09-04T11:27:01Z,Fresh and great service!!,"Fruits, vegetables and seafood are always fresh and also other products are great too!! I am a very happy customer. I would definitely shop again!",5
3,2021-09-04T09:00:13Z,Simple environmental considerations,"The service was great as was the produce. However, I was disappointed that I received a giant cardboard box approx 60 x40cm which contained 2 small items- a loaf of bread and crumpets. It made me consider if I could justify ordering online in future.",3
4,2021-09-04T05:59:18Z,Two great experiences sending gourmet food,Have used company name twice to send gourmet foods to an elderly family member in lockdown. Have been extremely happy both times.,5
5,2021-09-03T21:46:29Z,"Opening my box is like  receiving a colourful, healthy, surprise gift!","Carefully packed, beautifully fresh and so colourful, our box of fruit and vegetables brightens our day. Minimal packaging , maximum product .",5
6,2021-09-03T20:51:33Z,Excellent quality,"Thank you for your quality produce. It’s always exciting to unpack the boxes. I also appreciate your plastic-less packaging, so much more sustainable.",5
7,2021-09-03T06:09:42Z,Very convenient way to shop,This was my first online order with company name and I found it to be a much better experience than other major supermarkets. The fruit and vegetables were very fresh and the groceries were packed well,5
8,2021-09-03T00:00:08Z,Worst experience ever,"Did an order online. Took 2 days to arrive which is fine. The time slot booked was between 2-5pm and it arrived at 8.45pm. One item was missing and it was invoiced. No prior notice about the product being not available until I had to chase up for it. One would think when an item is not available, you will not be able to order at the time and also not invoiced??? Complete mess. ",1
9,2021-09-02T21:41:40Z,Fantastic quality!,This is the second time we have had a delivery from company name and I can’t fault it. The range is excellent and the quality is the best! ,5
10,2021-09-02T21:35:34Z,Great quality!,"We’ve had the farm boxes delivered a few times now, and couldn’t be happier. Fresh, yummy produce, and a great variety. 
Thank you ",5
11,2021-09-02T09:59:19Z,This is perfect service . I am loving it,"Easy convenient  on line ordering and efficient delivery , items are carefully and professional packed . Over all , it was a great shopping experience.
",5
12,2021-09-01T04:25:09Z,The quality of the produce is excellent,The title says it all. Absolutely no complaints about the quality and value for money of the produce. The only hiccup was when I inadvertently ended up with five kilos of Mandarins instead of five items. A definite ooops for not rechecking the order  ,5
13,2021-09-01T03:35:47Z,company name is amazing,company name have provided a seamless home delivery service. They are diligent in ensuring refunds are processed for items unavailable. The tracking functionality of the delivery is also incredible. Thank you so much company name!,5
14,2021-08-31T09:48:34Z,Absolutely beautiful produce,"Had a box of fruit delivered to my sister who is in lockdown, the produce was so fresh and she is enjoying the fruit and yogurt, thank you so very much ",5
15,2021-08-31T09:44:35Z,Easy to shop,"Thank you for packing such good quality fruit and vegetables 
Really fresh 
Meat and cheese came in a cold bag
Tracking was so easy ",4
16,2021-08-31T04:48:55Z,Mixed up but fixed up,A couple of errors were made in over 20 selections but quality is excellent and mistakes are put right without a fuss online.,4
17,2021-08-30T22:46:16Z,Great service and a special thank you to the hard working and polite driver,I was so happy with the great food and service and wanted to give a special complement to the hard working and polite delivery driver (Navid).                                ,5
18,2021-08-30T12:51:03Z,My goto and trustworthy place for organic veggies,"I’m so glad to have found them, top notch quality based products and service always !
Will definitely recommend company name to all my friends ",5
19,2021-08-30T11:06:51Z,The answer to my on-line  shopping,"You provide an efficient, prompt and high quality service. Your product range is very good. I have one negative comment - please do NOT substitute a product to replace an ordered item which is unavailable.",5
20,2021-08-30T10:10:03Z,Fresh fresh fresh,"Delicious, abundant and quality fresh produce beautifully packaged. The weekly fruit and veg box with recipes included are fantastic. Definitely a converted customer now. 
Thank you! ",5
21,2021-08-30T03:24:58Z,Online order,Very disappointed when I did an online order today and I find the order comes from Homebush Sydney.  I live in Lake Macquarie why is it not coming from my local company name at Cook Hill. Won’t be ordering from company name again,1
22,2021-08-29T23:18:15Z,Reliability is a great thing in these uncertain times,"The web site is easy to use.That is a boon for an 80yr old living alone. 
The order is delivered as scheduled, well packed in recyclable boxes. The tracking ability is great.
Another reliable aspect is the good quality and prompt refund if items are out of stock. such certainty is so reassuring just now.
It is simply the best food delivery service available. 
Now if only you sold cat food I wouldn't have to shop anywhere else --------- ",5
23,2021-08-29T23:02:42Z,Great produce and service,"My first order with company name - very happy.
Quality produce, excellent range of goods, delivery as promised and excellent  communication. Thanks",5
24,2021-08-29T19:24:44Z,Glad to Receive Quality Vegetables,"As we can't access our local company name at the moments it was really great to still be able to order and receive our fruit and vegetables, plus other products we have come to love from company name delivered to our door ",5
25,2021-08-29T19:24:44Z,Glad to Receive Quality Vegetables,"As we can't access our local company name at the moments it was really great to still be able to order and receive our fruit and vegetables, plus other products we have come to love from company name delivered to our door ",5
26,2021-08-29T11:39:16Z,The foods are fresh,I like the  foods are fresh. But I hope the drive will leave my order in front of our door. ,4
27,2021-08-29T11:03:23Z,"Please unpack now, I need the blue bags back","I have always loved shopping at HF. But I found it is really annoying that the driver driver demand that ‘please unpack now, I need the blue bag’. 

Isn’t it meant to be a touch free delivery?
We are more than happy to return the bags, perhaps a ‘blue bag recycle’ program will be helpful? ",1
28,2021-08-29T09:18:25Z,Lockdown win!,Quality produce and a delight to explore the box delivered in lockdown. Products lasted well and were delicious.  Will use again and again.,5
29,2021-08-29T00:58:03Z,Consistent quality food,"I cannot state enough, how consistent the quality of the food delivery is…it’s a wonderful peace of mind during this pandemic. Very rarely are there any errors, if ever it happens, it’s sorted instantly.",5
30,2021-08-29T00:13:51Z,Good but....,"In general I am happy with the service. The veg and fruit were good.
One of the one litre milk items was past used by on delivery.
Others had fairly short times and didn't make it to the end of the week.
Received trout instead of salmon. Which wasn't on the substitution note.",3
